store_name,store_postal,product_name,persona,size_type,description,price_cad,unit,available,price_approximate,collection_date,needs_manual_review
Real Canadian Superstore Seymour Blvd,V5K 0A1,Russet Potatoes,Indigenous,small,PC Russet Potatoes 5 lb Bag (2.268kg),5.5,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Whole Milk,Indigenous,bulk,Dairyland Homo Milk 4L,7.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Whole Milk,Indigenous,small,Dairyland Homo Milk 1L,2.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Bean Sprouts,Korean,bulk,NOT FOUND – no 1kg bag,,each,False,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Bean Sprouts,Korean,small,Bean Sprouts 340g,2.5,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Dried Seaweed / Nori,Korean,bulk,Jayone Seasoned & Roasted Seaweed 120g,11.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Dried Seaweed / Nori,Korean,small,T&T Sushi Nori Roasted Seaweed Sheets 27g,3.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Eggs,Korean,bulk,PC Free Run Eggs Large 18ct,8.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Eggs,Korean,small,PC Free Run Eggs Large 12ct,5.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Frozen Mackerel,Korean,bulk,Chub Mackerel 1kg,6.0,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Frozen Mackerel,Korean,small,Previously Frozen Whole Mackerel ~0.44kg,3.85,each,True,True,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Gochujang,Korean,bulk,NOT FOUND – no 1kg,,each,False,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Gochujang,Korean,small,O Food Hot Pepper Paste 500g,5.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Kimchi,Korean,bulk,Rooster Kimchi 1kg,11.0,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Kimchi,Korean,small,JONGGA Sliced Kimchi 80g,1.79,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Lean Ground Beef,Korean,bulk,Club Pack Lean Ground Beef by weight $17.61/kg,17.61,per_kg,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Lean Ground Beef,Korean,small,Butcher's Choice Lean Ground Beef 0.45kg,9.0,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Sesame Oil,Korean,bulk,Kadoya Pure Sesame Oil 1L,12.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Sesame Oil,Korean,small,Kadoya Pure Sesame Oil 327ml,5.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Short Grain Rice,Korean,bulk,Diamond G Calrose Rice 6.8kg,17.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Short Grain Rice,Korean,small,Kokuho Premium Rice 2.26kg,12.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Silken Tofu,Korean,bulk,Sunrise Fresh Pack Tofu Smooth 700g,3.59,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Silken Tofu,Korean,small,Rooster Silken Tofu 454g,2.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Tofu (Firm),Korean,bulk,Sunrise Medium Firm Tofu 454g,2.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Tofu (Firm),Korean,small,Sunrise Extra Firm Tofu 350g,3.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Butter,Others,bulk,PC Salted Butter 2×454g (908g),10.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Butter,Others,small,PC Salted Butter 454g,5.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Canned Chickpeas,Others,bulk,PC Blue Menu Chick Peas 6×540ml,9.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Canned Chickpeas,Others,small,No Name Chick Peas 540ml,1.19,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Canned Tuna,Others,bulk,Clover Leaf Flaked Light Tuna 8×170g,11.92,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Canned Tuna,Others,small,Clover Leaf Flaked Light Tuna 170g,1.79,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Canola Oil,Others,bulk,No Name Canola Oil 3L,10.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Canola Oil,Others,small,No Name Canola Oil 1L,4.29,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Carrots,Others,bulk,Farmer's Market Carrots 5LB (2.268kg),7.0,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Carrots,Others,small,Farmer's Market Carrots 2 lb bag (907g),3.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Chicken Breast,Others,bulk,Club Pack Chicken Breast Boneless ~1.8kg,18.0,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Chicken Breast,Others,small,Fresh Chicken Breast Boneless Skinless ~1kg,10.0,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Eggs,Others,bulk,PC Free Run Eggs Large 18ct,8.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Eggs,Others,small,PC Free Run Eggs Large 12ct,5.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Frozen Edamame,Others,bulk,No Name Edamame in Shell 1kg,5.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Frozen Edamame,Others,small,PC Edamame in Shell 500g,4.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Hunt's Diced Tomatoes,Others,bulk,NOT FOUND – no 6-pack,,each,False,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Hunt's Diced Tomatoes,Others,small,Hunt's Heirloom Diced Tomatoes 796ml,4.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Lean Ground Beef,Others,bulk,Club Pack Lean Ground Beef by weight $17.61/kg,17.61,per_kg,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Lean Ground Beef,Others,small,Butcher's Choice Lean Ground Beef 0.45kg,9.0,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Russet Potatoes,Others,bulk,Farmer's Market Russet Potatoes 10 lb Bag (4.54kg),7.0,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Russet Potatoes,Others,small,PC Russet Potatoes 5 lb Bag (2.268kg),5.5,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,White Long Grain Rice,Others,bulk,No Name Long Grain White Rice 10kg,15.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,White Long Grain Rice,Others,small,No Name Long Grain White Rice 2kg,4.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,White Sugar,Others,bulk,Redpath White Sugar 10kg,17.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,White Sugar,Others,small,Redpath White Sugar 2kg,4.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Whole Milk,Others,bulk,Dairyland Homo Milk 4L,7.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Whole Milk,Others,small,Dairyland Homo Milk 1L,2.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Whole Wheat Bread,Others,bulk,Deli World 100% Whole Wheat Sandwich Bread 900g,4.79,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Whole Wheat Bread,Others,small,Wonder Whole Wheat Bread 570g,2.86,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Basmati Rice,South Asian,bulk,Tilda Pure Basmati Rice 10kg,37.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Basmati Rice,South Asian,small,Tilda Pure Basmati Rice 2kg,10.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Canola Oil,South Asian,bulk,No Name Canola Oil 3L,10.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Canola Oil,South Asian,small,No Name Canola Oil 1L,4.29,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Garlic,South Asian,bulk,Garlic 3-pack bag 0.21kg,2.5,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Garlic,South Asian,small,Garlic Loose Single Bulb ~0.1kg,0.88,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Ginger Root,South Asian,bulk,Ginger Root ~0.5kg (by weight),6.55,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Ginger Root,South Asian,small,Ginger Root ~0.1kg (by weight $13.10/kg),1.31,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Hunt's Diced Tomatoes,South Asian,bulk,NOT FOUND – no 6-pack,,each,False,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Hunt's Diced Tomatoes,South Asian,small,Hunt's Heirloom Diced Tomatoes 796ml,4.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Lentils (Red),South Asian,bulk,No Name Red Lentils 4kg,11.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Lentils (Red),South Asian,small,No Name Red Lentils 900g,3.79,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Liberté Greek Yogurt,South Asian,bulk,Liberté Greek 2% Yogurt Plain 750g,7.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Liberté Greek Yogurt,South Asian,small,Liberté Méditerranée 9% Yogurt 500g,2.73,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Whole Milk,South Asian,bulk,Dairyland Homo Milk 4L,7.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Whole Milk,South Asian,small,Dairyland Homo Milk 1L,2.99,each,True,False,2026-04-25,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Bok Choy,Chinese,bulk,Bok Choy Fresh 1.4kg,7.69,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Bok Choy,Chinese,small,YU Baby Bok Choy 454g,2.99,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Eggs Large,Chinese,bulk,Western Family Large White Eggs 30-pack,10.45,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Eggs Large,Chinese,small,Western Family Large White Eggs 12-pack,4.29,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Firm Tofu,Chinese,bulk,NOT FOUND – no 2-pack,,each,False,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Firm Tofu,Chinese,small,Sunrise Firm Tofu 500g,3.99,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Jasmine Rice,Chinese,bulk,Geoland Jasmine White Rice 8kg,25.99,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Jasmine Rice,Chinese,small,Western Family Jasmine Rice 1.81kg,8.99,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Kikkoman Soy Sauce,Chinese,bulk,Kikkoman Soy Sauce 1.2L,14.49,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Kikkoman Soy Sauce,Chinese,small,Kikkoman Soy Sauce 591ml,9.29,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Pork Belly,Chinese,bulk,NOT FOUND – fixed bulk pack,,each,False,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Pork Belly,Chinese,small,SOF Pork Belly Skin On Quarter Cut ~907g (by wt),18.58,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Pork Shoulder,Chinese,bulk,WC Pork Roast Shoulder Boneless ~2kg (by wt),39.64,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Pork Shoulder,Chinese,small,WC Pork Butt Steak Bone In ~800g (by wt),13.21,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Sesame Oil,Chinese,bulk,Maison Orphee Sesame Oil 500ml,19.49,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Sesame Oil,Chinese,small,Oi Toasted Sesame Oil 250ml,4.99,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Silk Soy Milk,Chinese,bulk,Silk Soy Protein Milk 1.89L,6.29,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Silk Soy Milk,Chinese,small,Silk Soy Beverage Original 946ml,3.29,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Carrots,European,bulk,Carrots Orange 5lb,6.99,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Carrots,European,small,Carrots Cello Bag 3lb,4.99,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Cheddar Cheese,European,bulk,Value Priced Medium Cheddar Block 820g,14.99,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Cheddar Cheese,European,small,Western Family Old Cheddar Cheese 400g,8.29,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Diced Canned Tomatoes,European,bulk,Aylmer Diced Tomatoes 8-pack,21.99,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Diced Canned Tomatoes,European,small,Western Family Diced Tomatoes 796ml,2.69,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Eggs Large,European,bulk,Western Family Large White Eggs 30-pack,10.45,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Eggs Large,European,small,Western Family Large White Eggs 12-pack,4.29,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Greek Yogurt,European,bulk,OIKOS Greek Yogurt Plain 1.5kg,12.99,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Greek Yogurt,European,small,Western Family Greek Style Yogurt 500g,5.29,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Homo Milk,European,bulk,Dairyland 3.25% Milk 4L,6.69,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Homo Milk,European,small,Dairyland 3.25% Milk 1L,3.25,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Lean Ground Beef,European,bulk,WC Lean Ground Beef Fine Grind ~1.36kg (by wt),25.46,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Lean Ground Beef,European,small,WC Lean Ground Beef 454g,9.5,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Olive Oil,European,bulk,Filippo Berio EVOO 1.5L,31.99,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Olive Oil,European,small,Western Family EVOO 500ml,11.99,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Russet Potatoes,European,bulk,Russet Potatoes 10lb bag,8.99,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Russet Potatoes,European,small,Russet Potatoes 5lb bag,6.99,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Whole Wheat Bread,European,bulk,NOT FOUND – no 2-loaf pack,,each,False,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Whole Wheat Bread,European,small,Western Family Whole Wheat Bread 570g,2.99,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Coconut Milk,Filipino,bulk,NOT FOUND – no 6-pack,,each,False,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Coconut Milk,Filipino,small,Western Family Premium Coconut Milk 400ml,2.69,each,True,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Eggplant,Filipino,bulk,NOT FOUND – no bulk bag,,each,False,False,2026-04-26,False
Save-On-Foods Cambie Street Vancouver,V5Z 0A1,Eggplant,Filipino,small,Eggplant Purple Regular (single),3.99,each,True,False,2026-04-26,False
